[Fichero de universo]
[O]|Quara|0|[8,4,26][4,,42][13,,29][2,10,46][12,,78]
Ain|1|[10,,96]
Amen|2|
Ilwena|3|[4,,8]
Merwennaja|4|[11,,43]
Nenite|5|
Ilja|6|
Nenalgnaja|7|
Mere|8|
Algin|9|[6,,54][12,,88]
Polalgna|10|
Nene|11|[9,2,40][7,,39][6,5,36][4,12,51][24,12,0][2,6,24][12,,13]
Ota|12|[21,,2][19,,62][8,12,79][26,,87][13,11,68][24,2,79][11,2,27]
Uin|13|[10,6,13][20,,13][16,,8][27,6,79][14,6,87][23,,98]
Quara|14|[9,7,8][28,10,6][16,,91][26,,10][23,5,66]
Iin|15|[9,,69][6,6,59][27,,67][25,,38][2,,24]
Galja|16|[10,5,48][8,,13][29,,44][17,,89][27,1,90][15,8,25][13,9,45]
Aen|17|[10,,70][19,,32][14,,70][11,5,72][22,5,41]
Pola|18|[10,,94][32,,43][30,,35][7,5,69][16,,8]
Onna|19|[21,4,61][32,8,97][30,,55][7,,76][18,,91][4,1,70][25,,67][23,,75]
Orditna|20|[28,,82][26,,56][24,5,21][13,1,90][22,2,80]
Ilotin|21|[32,,57][29,,38][28,,83][17,10,47][15,,16][26,10,70]
Galitnaja|22|[21,,33][32,,85][15,5,79][25,11,4][11,,46]
Galinna|23|[32,10,47][9,,82][28,10,9][16,3,24][34,,20][33,,15]
Wenna|24|[21,,47][9,,38][11,,11]
Poline|25|[10,,56][19,2,41][27,,76][15,,65][23,,25][33,,23]
Amin|26|[17,,25][28,4,98][16,,5][13,9,88]
Wenna|27|[22,,83][19,,54][18,7,29][15,2,16][12,,99][34,10,67][33,,52][30,,82][26,1,0]
Ilalgin|28|[21,,13][42,12,15][17,,96][39,,35][27,5,83][33,,48]
Nenonen|29|[42,,29][18,,17][17,,77][15,12,23][25,,73]
Onin|30|[43,,0][39,,45][25,,19][36,11,67][35,,30][44,,79][33,,78]
Ile|31|[21,11,22][41,,80][18,2,33][29,,71]
Quarna|32|[31,,19][19,,68][30,,33]
Algna|33|[43,10,11][19,,82][39,,66][36,,43][45,3,14]
Mernaja|34|[31,10,21][30,,5][29,,55][36,,75][46,9,32][35,8,60]
Inen|35|[21,,27][28,6,60][37,,89][22,,67]
Nenatja|36|[32,5,78][27,10,34][37,,95][25,,58][47,,72][24,9,67]
Polita|37|[43,,83][31,1,98][41,,25][39,,9][47,6,20][46,,70][24,8,22][34,,61]
Polja|38|[32,,20][29,2,48][39,,69][49,2,75][25,3,31]
Quaronja|39|[49,1,26][47,,18][46,7,87][35,,56][34,6,53][44,7,56][33,,11]
Wenin|40|[30,10,19][28,,85][49,,5][47,12,66][35,,51][44,,66]
Polja|41|[32,,25][54,,91][40,,88][28,4,18][35,8,4][34,,90][44,,4][55,,29]
Ilalgnaja|42|[27,7,72][48,8,90][36,,40][34,9,99]
Inaja|43|[52,5,11][38,2,3][49,11,0][47,,12][35,,1][55,9,75]
Ein|44|[32,8,28][53,5,63][52,4,52][30,1,21][36,,72]
Aja|45|[39,,30][38,,84][47,,18][33,8,5]
Wenin|46|[32,,39][38,,15][37,,6][55,,8]
Galna|47|[52,4,53][41,,69][38,,1][49,2,29][59,1,23][48,1,42]
Eja|48|[42,10,73][40,1,35][62,1,55][57,,7][56,,42][55,,31]
